Open;Close;High;Low;Volume;Date
23,79875;24,015;24,52;23,74575;;1/11/2021
24,00325;23,504;24,05575;23,385;;2/11/2021
23,505;23,58;23,6175;23,025;;3/11/2021
23,58875;23,7575;24,03225;23,44;;4/11/2021
23,7775;24,535;24,535;23,658;;5/11/2021
24,535;24,535;24,535;24,535;;6/11/2021
24,535;24,175;24,535;24,175;;7/11/2021
24,155;24,535;24,535;24,05625;;8/11/2021
24,44425;24,37;24,985;24,04;;9/11/2021
24,31025;24,495;25,115;23,865;;10/11/2021
24,6275;25,25875;25,25875;24,58825;;11/11/2021
25,2225;25,3;25,36;24,85375;;12/11/2021
25,3;25,3;25,3;25,3;;14/11/2021
25,365;24,865;25,365;24,725;;15/11/2021
25,084;24,8225;25,39;24,76575;;16/11/2021
24,80725;25,0445;25,2;24,725;;17/11/2021
25,06575;23,865;25,15025;23,865;;18/11/2021
24,8055;24,60625;24,96925;24,55;;19/11/2021
24,60625;24,60625;24,60625;24,60625;;20/11/2021
24,60625;23,915;24,60625;23,915;;21/11/2021
24,57375;23,865;24,878;23,865;;22/11/2021
24,22975;23,01;24,3175;23,01;;23/11/2021
23,65325;23,54825;23,673;23,39775;;24/11/2021
23,545;23,505;23,715;23,505;;25/11/2021
23,5425;23,1475;23,715;22,9275;;26/11/2021
23,1475;23,1475;23,1475;23,1475;;28/11/2021
23,1375;23,08;23,4325;22,7575;;29/11/2021
22,91125;22,845;23,295;22,6925;;30/11/2021
22,86425;22,32;23,01975;22,1925;;1/12/2021
22,33125;22,015;22,4875;22,015;;2/12/2021
22,42175;22,015;22,5525;22,015;;3/12/2021
22,015;22,015;22,015;22,015;;4/12/2021
22,015;22,015;22,015;22,015;;5/12/2021
22,51075;22,015;22,6;22,015;;6/12/2021
22,3925;22,47925;22,595;22,045;;7/12/2021
22,50325;22,45625;22,55575;22,31175;;8/12/2021
22,445;21,9575;22,46575;21,8625;;9/12/2021
21,98425;22,178;22,2075;21,82375;;10/12/2021
22,178;22,178;22,178;22,178;;11/12/2021
22,178;22,178;22,178;22,178;;12/12/2021
22,28875;22,33575;22,40875;22,15;;13/12/2021
22,32625;21,94825;22,33625;21,70325;;14/12/2021
21,9575;22,07725;22,1125;21,43875;;15/12/2021
22,10125;22,495;22,5325;21,9275;;16/12/2021
22,4675;22,37;22,68125;22,3625;;17/12/2021
22,37;22,37;22,37;22,37;;18/12/2021
22,37;22,37;22,37;22,37;;19/12/2021
22,40375;22,2375;22,44875;22,195;;20/12/2021
22,28;22,515;22,774;22,18825;;21/12/2021
22,5;22,805;22,83;22,4425;;22/12/2021
22,8025;23,19;23,19;22,66325;;23/12/2021
23,1925;22,9925;23,1925;22,8075;;24/12/2021
22,9925;22,9925;22,9925;22,9925;;26/12/2021
22,7925;23,0625;23,10675;22,647;;27/12/2021
23,06;23,01875;23,4175;22,96275;;28/12/2021
23,00325;23,085;23,1525;22,58925;;29/12/2021
22,82875;23,055;23,10225;22,60075;;30/12/2021
23;23,17125;23,305;23;;31/12/2021
23,31;23,31;23,31;23,31;;2/01/2022
23,20575;22,9;23,29525;22,565;;3/01/2022
22,8975;23,05;23,092;22,66;;4/01/2022
23,0465;22,77075;23,245;22,72875;;5/01/2022
22,76175;22,22125;22,815;22,00175;;6/01/2022
22,2025;22,465;22,465;21,965;;7/01/2022
22,465;22,465;22,465;22,465;;9/01/2022
22,34225;22,45925;22,51;22,19425;;10/01/2022
22,465;22,935;22,935;22,44675;;11/01/2022
22,76575;23,1425;23,21425;22,64425;;12/01/2022
23,15325;23,07625;23,265;22,9945;;13/01/2022
23,07025;22,815;23,30325;22,815;;14/01/2022
